Ticker,Name,Sector,Current_Price,Marcap,Revenue,Operating_Income,ROE,PER,PBR,Excess_Return_3M
005935,삼성전자우,,235000,188557232705000,1338734.0,572328.0,19.16,18.99,3.27,0.0667
03473K,SK우,,478500,270895597500,367513.0,36731.0,9.29,13.3,0.89,0.0997
034730,SK,기타 금융업,858000,62207319174000,367513.0,36731.0,9.29,23.85,1.6,0.7735
420770,기가비스,특수 목적용 기계 제조업,161500,2047134917000,60.0,-10.0,,125.0,10.16,0.2751
000660,SK하이닉스,반도체 제조업,2917000,2078952798705000,525763.0,376103.0,61.16,28.18,12.27,1.3684
005930,삼성전자,통신 및 방송 장비 제조업,358500,2095890880968000,1338734.0,572328.0,19.16,28.98,4.99,0.1996
089970,브이엠,특수 목적용 기계 제조업,100000,2477199500000,889.0,301.0,30.38,51.39,12.73,0.4418
028260,삼성물산,기타 전문 도매업,519000,84164974539000,104658.0,7204.0,5.41,34.8,1.36,0.134
004170,신세계,종합 소매업,741000,6998879121000,18471.0,1978.0,1.71,93.3,1.35,0.4034
402340,SK스퀘어,기타 금융업,1899000,250588975014000,86314.0,82783.0,55.09,16.13,6.94,1.6954
319660,피에스케이,특수 목적용 기계 제조업,170600,4941721408400,1566.0,472.0,19.04,49.61,8.72,0.2826
069960,현대백화점,종합 소매업,195500,4215940296000,9501.0,988.0,4.62,21.27,0.91,0.5182
222800,심텍,전자부품 제조업,126200,4727948092200,4224.0,137.0,-22.7,-14.35,7.9,0.4502
095610,테스,특수 목적용 기계 제조업,166100,3215696000000,972.0,222.0,17.58,49.67,7.18,0.932
032830,삼성생명,보험업,447000,89400000000000,147194.0,13578.0,5.44,31.14,0.99,0.2091
